CODE,UZ,RU,Link,Description
AU,Audiologiya,Аудиология ,http://terminology.hl7.org/CodeSystem/v2-0074,"Используется для классификации диагностического отчёта по разделу/домену диагностики. Для лабораторных отчётов category должен включать код, отражающий тип диагностического сервиса (например, Laboratory), а также при необходимости — более узкую лабораторную область (например, Hematology, Microbiology, Immunology, Virology, Toxicology и т.д.). Поле применяется для фильтрации, группировки и аналитики (BI) и не заменяет указание конкретного исследования в"
BG,Qon gazlari,Газы крови ,,
BLB,Qon banki,Банк крови ,,
CG,Sitogenetika,Цитогенетика ,,
CUS,Yurak ultratovush tekshiruvi,Ультразвуковое исследование сердца ,,
CTH,Yurak kateterizatsiyasi,Катетеризация сердца ,,
CT,KT skanerlash,КТ-сканирование ,,
CH,Kimyo,Химия ,,
CP,Sitopatologiya,Цитопатология ,,
EC,"Elektrokardiologiya (masalan, EKG, EEC, Holter)","Электрокардиология (например, ЭКГ, ЭЭК, Холтер) ",,
EN,"Elektroensefalografiya (EEG, EMG, EP, PSG)","Электроэнцефалография (ЭЭГ, ЭМГ, ВП, ПСГ) ",,
GE,Genetika,Генетика ,,
HM,Gematologiya,Гематология ,,
IMG,Diagnostik tasvirlash,Диагностическая визуализация ,,
ICU,Reanimatsiyada yotoq yonida monitoring,Прикроватный мониторинг в ОРИТ ,,
IMM,Immunologiya,Иммунология ,,
LAB,Laboratoriya,Лаборатория ,,
MB,Mikrobiologiya,Микробиология ,,
MCB,Mikobakteriologiya,Микобактериология ,,
MYC,Mikologiya,Микология ,,
NMS,Yadro tibbiyoti skaneri,Сканирование в ядерной медицине ,,
NMR,Yadro magnit-rezonans tomografiyasi,Магнитно-резонансная томография ,,
NRS,Hamshiralik xizmati ko‘rsatkichlari,Показатели сестринского ухода ,,
OUS,Akusherlik ultratovush tekshiruvi,Акушерское ультразвуковое исследование ,,
OT,Mehnat terapiyasi,Трудотерапия ,,
OTH,Boshqa,Другое ,,
OSL,Tashqi laboratoriya,Внешняя лаборатория ,,
PAR,Parazitologiya,Паразитология ,,
PHR,Dorixona,Аптека ,,
PAT,"Patologiya (makroskopik va gistopatologiya, jarrohlik emas)","Патология (макроскопическая и гистопатология, не хирургическая) ",,
PT,Jismoniy terapiya,Физиотерапия ,,
PHY,"Shifokor (anamnez, tashxis, qabul qaydlari va boshqalar)","Врач (анамнез, диагноз, приёмная запись и т. д.) ",,
PF,O‘pka funksiyasi,Исследование функции лёгких ,,
RAD,Radiologiya,Радиология ,,
RX,Rentgenografiya,Рентгенография ,,
RUS,Radiologik ultratovush tekshiruvi,Радиологическое ультразвуковое исследование ,,
RC,Nafas olishni qo‘llab-quvvatlash (terapiya),Респираторная терапия ,,
RT,Nurlanish terapiyasi,Лучевая терапия ,,
SR,Serologiya,Серология ,,
SP,Jarrohlik patologiyasi,Хирургическая патология ,,
TX,Toksikologiya,Токсикология ,,
VUS,Qon tomirlarining ultratovush tekshiruvi,Ультразвуковое исследование сосудов ,,
VR,Virusologiya,Вирусология ,,
URN,Siydik tahlili,Анализ мочи ,,
XRC,Kineradiografiya,Кинерадиография ,,
