CODE,UZ,RU,EN,Definition,Diagnostic.code
lab-rep-01,Umumiy qon tahlili,Общий анализ крови,CBC panel,"Код и наименование конкретного выполненного исследования/панели, к которой относится данный диагностический отчёт (например, Общий анализ крови, Биохимический анализ крови, ПЦР на HCV, Антибиотикограмма). DiagnosticReport.code описывает «что именно было выполнено» на уровне отчёта и не предназначен для кодирования отдельных показателей (аналитов); отдельные результаты должны быть представлены ресурсами Observation и ссылками из DiagnosticReport.result.",
lab-rep-02,Qon koagulogrammasi (qon ivish ko'rsatkichlari),Коагулограммы крови,Coagulation panel,,
lab-rep-03,Najasning makroskopik tekshiruvi,Макроскопическое исследование кала,Macroscopic examination of feces,,
lab-rep-04,Najasning mikroskopik tekshiruvi,Микроскопическое исследование кала,Microscopic examination of feces,,
lab-rep-05,Siydikning makroskopik tekshiruvi,Макроскопическое исследование мочи,Urinalysis macro (dipstick) panel,,
lab-rep-06,Siydikning mikroskopik tekshiruvi,Микроскопическое исследование мочи,Microscopic examination of urine sediment,,
lab-rep-07,Biokimyoviy qon tahlili,Биохимическое исследование крови,Comprehensive metabolic panel,,
lab-rep-08,Gormonal qon tahlili,Гормональное исследование крови,Hormone studies panel,,
lab-rep-09,Spermogramma tekshiruvi,Исследование спермограммы,Semen analysis panel,,
lab-rep-10,Balg'am tahlili,Анализ мокроты,Sputum studies panel,,
lab-rep-11,Prostata bezi sekretining tahlili,Анализ секрета предстательной железы,Prostatic secretion study panel,,
lab-rep-12,TORCH-infeksiyalar bo'yicha tahlil,Анализ на TORCH-инфекции,TORCH panel,,
lab-rep-13,Serebrospinal suyuqlik (likvor) tekshiruvi,Исследование цереброспинальной жидкости (ликвора),Cerebrospinal fluid studies panel,,
lab-rep-14,Suyak iligi punktati tahlili,Анализ пунктата костного мозга,Bone marrow differential panel,,
lab-rep-15,Gepatit B virusi DNKsi — sifat jihatidan,ДНК вирусного гепатита Б — качественный,HBV DNA qualitative test,,
lab-rep-16,Gepatit B virusi DNKsi — miqdoriy (IU/mL),ДНК вирусного гепатита Б — количественный (IU/mL),HBV DNA quantitative test,,
lab-rep-17,Gepatit C virusi RNKsi — sifat jihatidan,РНК вирусного гепатита C — качественный,HCV RNA qualitative test,,
lab-rep-18,Gepatit C virusi RNKsi — miqdoriy (IU/mL),РНК вирусного гепатита C — количественный (IU/mL),HCV RNA quantitative test,,
lab-rep-19,Gepatit C virusi genotipi — genotiplash,Генотип вирусного гепатита C — генотипирование,HCV genotype test,,
