CODE,RU,UZ,,http://hl7.org/fhir/ValueSet/referencerange-meaning
type,тип,tur,,
normal,норма,normal / me’yor,,
recommended,рекомендованный,tavsiya etilgan,,
treatment,лечение,davolash,,
therapeutic,терапевтический,terapevtik,,
pre,до,oldin,,
post,после,keyin,,
endocrine,эндокринный,endokrin,,
pre-puberty,до полового созревания,balog‘atgacha,,
follicular,фолликулярная фаза,follikulyar faza,,
midcycle,середина цикла,sikl o‘rtasi,,
luteal,лютеиновая фаза,lyuteal faza,,
postmenopausal,постменопауза,menopauzadan keyin,,
