CODE,UZ,RU,EN
1703200,Andijon viloyatining tumanlari,Районы Андижанской области,
1703202,Oltinko‘l tumani (Markaz -Oltinko‘l a.p.),Алтынкульский район (Центр - нп Алтынкуль),
1703203,Andijon tumani (Markaz -Kuyganyor shaharchasi),Андижанский район ( Центр - гп Куйганяр),
1703206,Baliqchi tumani (Markaz -Baliqchi shaharchasi),Балыкчинский район (Центр - гп Баликчи ),
1703209,Bo‘ston tumani (Markaz -Bo‘z shaharchasi),Бустонский район (Центр - гп Боз),
1703210,Buloqboshi tumani (Markaz -Buloqboshi shaharchasi),Булакбашинский район (Центр - гп Булокбоши),
1703211,Jalaquduq tumani (Markaz -Jalaquduq sh.),Жалакудукский район (Центр - г.Жалакудук),
1703214,Izboskan tumani (Markaz -Paytug sh.),Избасканский район (Центр - г.Пайтуг),
1703217,Ulug‘nor tumani (Markaz -Oq oltin shaharchasi),Улугноpский район (Центр - гп Ок-олтин),
1703220,Qo‘rg‘ontepa tumani (Markaz -Qo‘rg‘ontepa sh.),Кургантепинский район (Центр - г.Кургантепа),
1703224,Asaka tumani (Markaz -Asaka sh.),Асакинский район (Центр - г.Асака),
1703227,Marxamat tumani (Markaz -Marxamat sh.),Мархаматский район (Центр -г.Мархамат),
1703230,Shaxrixon tumani (Markaz -Shaxrixon sh.),Шахриханский район (Центр -г.Шахрихан),
1703232,Paxtaobod tumani (Markaz -Paxtaobod sh.),Пахтаабадский район (Центр -г.Пахтаабад),
1703236,Xo‘jaobod tumani (Markaz -Xo‘jaobod sh.),Ходжаабадский район (Центр -г.Ходжаабад),
1703400,Andijon v-tining vil-t ahamiyatiga ega shaharlari,Города областного подчинения Андижанской области,
1703401,Andijon,Андижан,
1703408,Xonobod,Ханабад,
1706200,Buxoro viloyatining tumanlari,Районы Бухарской области,
1706204,Olot tumani (Markaz -Olot sh.),Алатский район (Центр -г.Алат),
1706207,Buxoro tumani (Markaz -Gala Osiyo shaharchasi),Бухарский район (Центр -г. Галлаасия),
1706212,Vobkent tumani (Markaz -Vobkent sh.),Вабкентский район (Центр -г. Вабкент),
1706215,G‘ijduvon tumani (Markaz -G‘ijduvon sh.),Гиждуванский район (Центр -г. Гиждуван),
1706219,Kogon tumani (Markaz -Kogon sh.),Каганский район (Центр -г. Каган),
1706230,Qorako‘l tumani (Markaz -Qorako‘l sh.),Каракульский район (Центр -г. Каракуль),
1706232,Qorovulbozor tumani (Markaz -Qorovulbozor sh.),Караулбазарский район (Центр -г. Каpаулбазаp),
1706240,Peshku tumani (Markaz -Yangibozor shaharchasi),Пешкунский район (Центр -гп Янгибозор),
1706242,Romitan tumani (Markaz -Romitan sh.),Ромитанский район (Центр -г. Ромитан),
1706246,Jondor tumani (Markaz -Jondor shaharchasi),Жондоpский район (Центр -гп Жондор),
1706258,Shofirkon tumani (Markaz -Shofirkon sh.),Шафирканский район (Центр -г. Шафиркан),
1706400,Buxoro viloyatining viloyat ahamiyatiga ega shaharlari,Города областного подчинения Бухарской области,
1706401,Buxoro,Бухара,
1706403,Kogon,Каган,
1708200,Jizzax viloyatining tumanlari,Районы Джизакской области,
1708201,Arnasoy tumani (Markaz -G‘oliblar shaharchasi),Арнасайский район (Центр -гп Голиблаp),
1708204,Baxmal tumani (Markaz -O‘smat shaharchasi),Бахмальский район (Центр -гп Усмат),
1708209,G‘allaorol tumani (Markaz -G‘allaorol sh.),Галляаральский район (Центр -г. Галляарал),
1708212,Sharof Rashidov tumani (Markaz -Uchtepa shaharchasi),Шароф Рашидовский район (Центр -гп Уч-тепа),
1708215,Do‘stlik tumani (Markaz -Do‘stlik sh.),Дустликский район (Центр -г. Дустлик),
1708218,Zomin tumaniм (Markaz -Zomin shaharchasi),Зааминский район (Центр -гп Заамин),
1708220,Zarbdor tumani (Markaz -Zarbdor shaharchasi),Зарбдарский район (Центр -гп Зарбдар),
1708223,Mirzacho‘l tumani (Markaz -Gagarin sh.),Мирзачульский район (Центр -г. Гагарин),
1708225,Zafarobod tumani (Markaz -Zafarobod shaharchasi),Зафарабадский район (Центр -гп Зафарабад),
1708228,Paxtakor tumani (Markaz -Paxtakor sh.),Пахтакорский район (Центр -г. Пахтакор),
