CODE,UZ,RU,EN
legal,Yuridik autentifikatsiya,Юридический аутентификатор,Legal Authenticator
author,Muallif,Автор,Author
composer,Hujjat shakllantiruvchi qurilma,Устройство формирования документа,
transformer,Hujjat shakllantiruvchi qurilma,Устройство формирования документа,
assembler,Ma'lumotlarni yig'uvchi qurilma,Устройство сбора данных,
custodian,Ma'lumotlar saqlovchisi,Устройство сбора данных,
verifier,Verifikator,Верификатор,
informant,Xabarchi,Информатор,
editor,Muharrir,Редактор,
performer,Bajaruvchi,Исполнитель,
enterer,Ma'lumot kirituvchi,Ответственный за ввод,
