code,uz,ru
A,Ovqat hazm qilish tizimi va moddalar almashinuvi,Пищеварительный тракт и обмен веществ
A01,Stomatologiyada qoʻllaniladigan preparatlar,Препараты применяемые в стоматологии
A01A,Stomatologiyada qoʻllaniladigan preparatlar,Препараты применяемые в стоматологии
A01AA,Kariyesning oldini olish uchun preparatlar,Препараты для профилактики кариеса
A01AA01,Natriy ftoridi,Натрия фторид
A01AA02,Natriy monoftorfosfati,Натрия монофторфосфат
A01AA03,Olaflur,Олафлур
A01AA04,Qalay ftoridi,Олова фторид
A01AA30,Kariyesni oldini olish uchun majmualangan preparatlar,Препараты для профилактики кариеса комбинированные
A01AA51,Natriy ftoridi boshqa vositalar bilan majmuada,Натрия фторид в комбинации со средствами
A01AB,Mikroblarga qarshi preparatlar va ogʻiz boʻshligʻi kasalliklarini mahalliy davolash uchun antiseptiklar,Противомикробные препараты и антисептики для местного лечения заболеваний полости рта
A01AB02,Vodorod peroksidi,Водорода пероксид
A01AB03,Xlorgeksidin,Хлоргексидин
A01AB04,Amfoteritsin B,Амфотерицин B
A01AB05,Polinoksilin,Полиноксилин
A01AB06,Domifen bromidi,Домифена бромид
A01AB07,Oksixinolin,Оксихинолин
A01AB08,Neomitsin,Неомицин
A01AB09,Mikonazol,Миконазол
A01AB10,Natamitsin,Натамицин
A01AB11,Boshqa preparatlar,Прочие препараты
A01AB12,Geksetidin,Гексэтидин
A01AB13,Tetratsiklin,Тетрациклин
A01AB14,Benzoksoniy xloridi,Бензоксония хлорид
A01AB15,Tibezoniy yodidi,Тибезония йодид
A01AB16,Mepartritsin,Мепартрицин
A01AB17,Metronidazol,Метронидазол
A01AB18,Klotrimazol,Клотримазол
A01AB19,Natriy perborati,Натрия перборат
A01AB21,Xlortetratsiklin,Хлортетрациклин
A01AB22,Doksitsiklin,Доксициклин
A01AB23,Minotsiklin,Миноциклин
A01AC,Ogʻiz boʻshligʻi kasalliklarini mahalliy davolash uchun kortikosteroidlar,Кортикостероиды для местного лечения заболеваний полости рта
A01AC01,Triamsinolon,Триамцинолон
A01AC02,Deksametazon,Дексаметазон
A01AC03,Gidrokortizon,Гидрокортизон
A01AC54,Prednizolon boshqa vositalar bilan majmuada,Преднизолон в комбинации со средствами
A02,Kislotali muhit buzilishi bilan bogʻliq kasalliklarni davolash uchun preparatlar,Препараты для лечения заболеваний связанных с нарушением кислотности
A02A,Antatsidlar,Антациды
A02AA,Magniy birikmalari,Соединения магния
A02AA01,Magniy karbonati,Магния карбонат
A02AA02,Magniy oksidi,Магния оксид
A02AA03,Magniy peroksidi,Магния пероксид
A02AA04,Magniy gidroksidi,Магния гидроксид
A02AA05,Magniy silikati,Магния силикат
A02AA10,Magniy preparatlari boshqa vositalar bilan majmuada,Препараты магния В комбинации со средствами
A02AB,Alyuminiy birikmalari,Соединения алюминия
A02AB01,Alyuminiy gidroksidi,Алюминия гидроксид
A02AB02,Algeldrat,Алгелдрат
A02AB03,Alyuminiy fosfati,Алюминия фосфат
A02AB04,Karbaldrat,Карбалдрат
A02AB05,Alyuminiy atsetoatsetati,Алюминия ацетоацетат
A02AB06,Aloglutamol,Алоглутамол
A02AB07,Alyuminiy glitsinati,Алюминия глицинат
A02AB10,Alyuminiy preparatlari boshqa vositalar bilan majmuada,Препараты алюминия в комбинации со средствами
A02AC,Kalsiy birikmalari,Соединения кальция
A02AC01,Kalsiy karbonati,Кальция карбонат
A02AC02,Kalsiy silikati,Кальция силикат
A02AC10,Kalsiy preparatlari boshqa vositalar bilan majmuada,Препараты кальция в комбинации со средствами
A02AD,"Alyuminiy, kalsiy va magniyning majmuaviy va kompleks preparatlari","Комбинированные и комплексные препараты алюминия, кальция и магния"
A02AD01,Tuzlarning oddiy birikmasi,Простое сочетание солей
A02AD02,Magaldrat,Магалдрат
A02AD03,Almagat,Алмагат
A02AD04,Gidrotalsit,Гидроталцит
A02AD05,Almasilat,Алмасилат
A02AF,Antatsidlar yel haydovchi vositalar bilan majmuada,Антациды в комбинации с ветрогонными средствами
A02AF01,Magaldrat yel haydovchi vositalar bilan majmuada,Магалдрат в комбинации с ветрогонными средствами
A02AF02,Tuzlarning oddiy birikmasi yel haydovchi vositalar bilan majmuada,Простое сочетание солей в комбинации с ветрогонными средствами
A02B,Meʼda va oʻn ikki barmoqli ichak yara kasalligi va gastroezofageal reflyuks kasalligini (GERK) davolash uchun preparatlar,Препараты для лечения язвенной болезни желудка и двенадцатиперстной кишки и гастроэзофагеальной рефлюксной болезни (ГЭРБ)
A02BA,H2-gistamin retseptorlar blokatorlari,Блокаторы Н2-гистаминовых рецепторов
A02BA01,Simetidin,Циметидин
A02BA02,Ranitidin,Ранитидин
A02BA03,Famotidin,Фамотидин
A02BA04,Nizatidin,Низатидин
A02BA05,Niperotidin,Ниперотидин
A02BA06,Roksatidin,Роксатидин
A02BA07,Ranitidin vismut sitrati,Ранитидина висмута цитрат
A02BA08,Lafutidin,Лафутидин
A02BA51,Simetidin boshqa vositalar bilan majmuada,Циметидин в комбинации со средствами
A02BA53,Famotidin boshqa vositalar bilan majmuada,Фамотидин в комбинации со средствами
A02BB,Prostaglandinlar,Простагландины
A02BB01,Mizoprostol,Мизопростол
A02BB02,Enprostil,Энпростил
A02BC,Proton nasos ingibitorlari,Ингибиторы протонного насоса
A02BC01,Omeprazol,Омепразол
A02BC02,Pantoprazol,Пантопразол
A02BC03,Lansoprazol,Лансопразол
A02BC04,Rabeprazol,Рабепразол
A02BC05,Ezomeprazol,Эзомепразол
A02BC06,Dekslansoprazol,Декслансопразол
A02BC07,Deksrabeprazol,Декcрабепразол
A02BC53,Lansoprazol boshqa vositalar bilan majmuada,Лансопразол в комбинации со средствами
A02BC54,Rabeprazol boshqa vositalar bilan majmuada,Рабепразол в комбинации со средствами
A02BD,Xelikobakter pilori eradikatsiyasi uchun majmuaviy preparatlar,Комбинированные препараты для эрадикации хеликобактер пилори
A02BD01,"Omeprazol ,amoksitsillin va metronidazol","Омепразол ,амоксициллин и метронидазол"
A02BD02,"Lansoprazol, tetratsiklin va metronidazol","Лансопразол, тетрациклин и метронидазол"
A02BD03,"Lansoprazol, amoksitsillin va metronidazol","Лансопразол, амоксициллин и метронидазол"
A02BD04,"Pantoprazol, amoksitsillin va klaritromitsin","Пантопразол, амоксициллин и кларитромицин"
A02BD05,"Omeprazol ,amoksitsillin va klaritromitsin","Омепразол ,амоксициллин и кларитромицин"
A02BD06,"Ezomeprazol ,amoksitsillin va klaritromitsin","Эзомепразол ,амоксициллин и кларитромицин"
A02BD07,"Lansoprazol, amoksitsillin va klaritromitsin","Лансопразол, амоксициллин и кларитромицин"
A02BD08,"Vismuta subsitrat, Tetratsiklin va Metronidazol","Висмута субцитрат, Тетрациклин и Метронидазол"
A02BD09,"Lansoprazol, klaritromitsin va tinidazol","Лансопразол, кларитромицин и тинидазол"
A02BD10,"Lansoprazol, amoksitsillin va levofloksatsin","Лансопразол, амоксициллин и левофлоксацин"
A02BD11,"Pantoprazol, amoksitsillin, klaritromitsin va metronidazol","Пантопразол, амоксициллин, кларитромицин и метронидазол"
A02BX,Meʼda va oʻn ikki barmoqli ichak yara kasalligi va GERKni davolash uchun boshqa preparatlar,Другие препараты для лечения язвенной болезни желудка и двенадцатиперстной кишки и ГЭРБ
A02BX01,Karbenoksolon,Карбеноксолон
A02BX02,Sukralfat,Сукральфат
A02BX03,Pirenzepin,Пирензепин
A02BX04,Metiosulfoniy xloridi,Метиосульфония хлорид
A02BX05,Vismut trikaliy ditsitrati,Висмута трикалия дицитрат
A02BX06,Proglumid,Проглумид
A02BX07,Gefarnat,Гефарнат
A02BX08,Sulglikotid,Сульгликотид
A02BX09,Asetoksolon,Ацетоксолон
A02BX10,Zolimidin,Золимидин
A02BX11,Troksipid,Троксипид
A02BX12,Vismut subnitrati,Висмута субнитрат
A02BX13,Algin kislotasi,Альгиновая кислота
A02BX51,Karbenoksolon boshqa vositalar bilan majmuada (psixotrop preparatlardan tashqari),Карбеноксолон в комбинации со средствами (исключая психотропные препараты)
A02BX71,Karbenoksolon psixotrop vositalar bilan majmuada,Карбеноксолон в комбинации с психотропными средствами
A02BX77,Gefarnat psixotrop vositalar bilan majmuada,Гефарнат в комбинации с психотропными средствами
A03,Meʼda - ichak yoʻllari funksional buzilishlarini davolash uchun preparatlar,Препараты для лечения функциональных нарушений желудочно-кишечного тракта
A03A,Meʼda - ichak yoʻllari funksional buzilishlarini davolash uchun preparatlar,Препараты для лечения функциональных нарушений желудочно-кишечного тракта
A03AA,"Sintetik antixolinergik vositalar, uchlamchi aminoguruh efirlari bilan","Синтетические антихолинергические средства, эфиры с третичной аминогруппой"
A03AA01,Oksifensiklimin,Оксифенциклимин
A03AA03,Kamilofin,Камилофин
A03AA04,Mebeverin,Мебеверин
A03AA05,Trimebutin,Тримебутин
A03AA06,Rotsiverin,Роциверин
A03AA07,Ditsikloverin,Дицикловерин
A03AA08,Digeksiverin,Дигексиверин
A03AA09,Difemerin,Дифемерин
A03AA30,Piperidolat,Пиперидолат
A03AB,"Sintetik antixolinergik vositalar, toʻrtlamchi ammoniy birikmalari","Синтетические антихолинергические средства, четвертичные аммониевые соединения"
A03AB01,Benzilon,Бензилон
A03AB02,Glikopirroniy bromidi,Гликопиррония бромид
A03AB03,Oksifenoniy,Оксифеноний
A03AB04,Pentiyenat,Пентиенат
A03AB05,Propantelin,Пропантелин
A03AB06,Otiloniy bromidi,Отилония бромид
A03AB07,Metantelin,Метантелин
A03AB08,Tridigeksetil,Тридигексетил
A03AB09,Izopropamid,Изопропамид
A03AB10,Geksotsikliy,Гексоциклий
A03AB11,Poldin,Полдин
A03AB12,Mepenzolat,Мепензолат
A03AB13,Bevoniy,Бевоний
A03AB14,Pipenzolat,Пипензолат
A03AB15,Difenamil,Дифенамил
A03AB16,(2-benzgidriloksietil) dietilmetilammoniy yodidi,(2-бензгидрилоксиэтил) диэтилметиламмония йодид
A03AB17,Tiyemoniy yodidi,Тиемония йодид
A03AB18,Prifiniy bromidi,Прифиния бромид
A03AB19,Timepidiy bromidi,Тимепидия бромид
A03AB21,Fenpiveriniy bromidi,Фенпивериния бромид
A03AB53,Oksifenoniy bromidi boshqa vositalar bilan majmuada,Оксифенония бромид в комбинации со средствами
A03AC,"Sintetik spazmolitiklar, uchlamchi aminoguruh amidlari bilan","Синтетические спазмолитики, амиды с третичной аминогруппой"
A03AC02,Dimetilaminopropionilfenotiazin,Диметиламинопропионилфенотиазин
A03AC04,Nikofetamid,Никофетамид
A03AC05,Tiropramid,Тиропрамид
A03AD,Papaverin va uning hosilalari,Папаверин и его производные
A03AD01,Papaverin,Папаверин
A03AD02,Drotaverin,Дротаверин
A03AD30,Moksaverin,Моксаверин
A03AE,Serotonin retseptorlar antogonistlari,Антагонисты серотониновых рецепторов
A03AE01,Alosetron,Алосетрон
A03AE03,Silansetron,Цилансетрон
A03AX,Meʼda - ichak yoʻllari funksional buzilishlarini davolash uchun boshqa preparatlar,Другие препараты для лечения функциональных нарушений желудочно-кишечного тракта
A03AX01,Fenpipran,Фенпипран
A03AX02,Diizopromin,Диизопромин
A03AX03,Xlorbenzoksamin,Хлорбензоксамин
A03AX04,Pinaveriy bromidi,Пинаверия бромид
